code	species	pigment	Fe_I	Tb_I	Mt_I	Ta_I	Fe_II	Tb_II	Mt_II	Ta_II	Fe_III	Tb_III	Mt_III	Ta_III	Fe_IV	Tb_IV	Mt_IV	Ta_IV	Post_LINE	Ant_LINE	AME	ALE	PME	PLE	WIDTH	HEIGHT	CLIPEO	CEPH_REG	Sterno_L	Sterno_W	PATURON	TOOTH	FANG
13	bolognai	0	1,97	2,10	1,91	1,18	1,69	1,91	1,76	1,09	1,55	1,44	1,38	0,87	1,93	1,98	1,75	1,05	0,40	0,37	0,03	0,04	0,04	0,04	0,99	0,32	0,18	0,69	0,75	0,62	0,56	0,07	0,34
14	bolognai	0	1,87	2,17	1,85	1,18	1,76	2,01	1,77	1,10	1,55	1,53	1,43	0,89	1,97	2,05	1,76	1,06	0,36	0,34	0,01	0,04	0,02	0,02	1,01	0,34	0,21	0,60	0,67	0,75	0,53	0,06	0,33
15	bolognai	0	2,05	2,40	2,07	1,30	1,90	2,20	1,94	1,23	1,64	1,71	1,61	0,94	2,19	2,20	1,95	1,15	0,40	0,37	0	0,04	0,02	0,04	1,07	0,35	0,20	0,73	0,75	0,77	0,58	0,07	0,38
16	bolognai	0	1,75	2,05	1,79	1,18	1,61	1,82	1,70	1,12	1,43	1,22	1,32	0,88	1,81	1,85	1,61	1,05	0,37	0,33	0,03	0,04	0,03	0,03	0,95	0,30	0,18	0,66	0,72	0,72	0,46	0,05	0,34
17	bolognai	0	1,97	2,22	1,91	1,30	1,85	2,01	1,84	1,17	1,63	1,49	1,48	0,88	2,10	2,05	1,88	1,11	0,39	0,36	0,03	0,04	0,04	0,04	1,01	0,31	0,19	0,70	0,80	0,74	0,50	0,07	0,37
18	bolognai	0	1,87	2,22	1,79	1,24	1,81	1,98	1,59	1,17	1,50	1,49	1,45	0,87	2	2,04	1,83	1,07	0,40	0,36	0,03	0,04	0,03	0,04	0,97	0,31	0,20	0,68	0,80	0,74	0,48	0,06	0,32
19	bolognai	0	1,87	2,13	1,78	1,16	1,74	1,89	1,71	1,10	1,53	1,44	1,48	0,88	1,93	1,87	1,70	1,02	0,40	0,37	0,03	0,03	0,04	0,03	1,05	0,31	0,18	0,74	0,74	0,72	0,47	0,06	0,36
20	bornensis	0	2,12	2,41	2,14	1,36	1,85	2,23	1,99	1,25	1,67	1,67	1,58	0,93	2,05	2,33	2,04	1,17	0,39	0,34	0,03	0,06	0,04	0,05	1,07	0,36	0,19	0,69	0,66	0,65	0,48	0,06	0,31
21	bornensis	0	2,26	2,65	2,28	1,46	2,15	2,34	2,14	1,24	1,79	1,88	1,70	0,93	2,36	2,47	2,21	1,22	0,43	0,40	0,04	0,08	0,08	0,10	1,12	0,34	0,17	0,75	0,84	0,77	0,49	0,07	0,35
22	bornensis	0	2,45	2,83	2,55	1,55	2,27	2,53	2,29	1,38	1,96	2,07	1,85	1,04	2,66	2,71	2,28	1,19	0,43	0,40	0,03	0,05	0,05	0,06	1,09	0,40	0,20	0,75	0,73	0,66	0,51	0,08	0,34
